ID,Fault_Type,Phase,RMS_Voltage,Peak_Voltage,THD,Duration_ms,DWT_Energy_Level1,DWT_Energy_Level2,DWT_Entropy,Signal_Noise_Ratio_dB,Label
1266,Harmonics,B,236.92,335.06,10.73,165.0,55.15,6.05,2.42,34.8,4.0
1267,Sag,C,155.67,220.15,2.07,100.0,71.08,26.28,4.6,26.72,1.0
1268,Normal,C,238.84,337.76,2.29,250.0,73.06,16.59,4.69,,0.0
1269,Normal,A,233.53,330.26,2.63,252.0,25.04,6.5,2.54,38.07,0.0
1270,Sag,B,144.67,204.59,2.83,96.0,59.66,17.33,1.26,21.0,1.0
1271,Harmonics,A,229.67,324.8,,173.0,50.5,31.27,2.13,21.55,4.0
1272,Swell,A,266.74,377.22,3.94,41.0,84.02,27.71,4.54,37.73,2.0
1273,Sag,A,158.01,223.46,2.72,261.0,35.76,16.35,2.53,30.02,1.0
1274,Sag,A,142.5,201.53,2.59,232.0,25.17,25.52,4.26,27.61,1.0
1275,Harmonics,A,237.55,335.94,13.28,140.0,11.9,20.15,1.58,24.66,4.0
1276,Normal,B,224.57,317.59,1.27,196.0,65.52,29.03,1.87,23.28,0.0
1277,Sag,A,132.15,186.88,3.63,290.0,20.66,39.02,1.39,28.94,1.0
1278,Sag,B,142.34,201.3,3.54,29.0,33.5,20.07,2.86,38.54,1.0
1279,Swell,C,253.29,358.2,3.55,122.0,98.6,30.06,3.64,26.66,2.0
1280,Harmonics,C,232.34,328.58,13.99,154.0,58.32,,2.54,25.37,4.0
1281,Normal,A,221.62,313.42,2.11,213.0,20.9,43.91,2.97,,
1282,Sag,,145.25,205.41,,271.0,21.7,27.35,2.63,33.98,1.0
1283,Sag,B,162.75,230.17,4.79,125.0,68.0,37.13,2.17,26.45,1.0
1284,Swell,A,265.66,375.7,1.83,177.0,24.82,5.25,1.17,24.88,2.0
1285,Normal,A,234.05,331.0,2.57,210.0,55.71,41.46,4.36,38.19,0.0
1286,Normal,C,230.53,326.02,1.6,246.0,88.17,33.77,2.79,33.24,0.0
1287,Sag,C,150.32,212.59,2.72,248.0,37.54,10.73,3.18,37.16,1.0
1288,Transient,A,227.89,385.93,3.48,285.0,73.4,37.05,1.38,34.64,3.0
1289,Transient,A,221.72,437.29,6.65,23.0,75.95,31.43,2.8,35.18,3.0
1290,Swell,A,274.89,388.75,,229.0,42.73,21.81,4.97,39.9,2.0
1291,Harmonics,C,229.65,324.78,8.65,214.0,,14.97,4.03,26.19,4.0
1292,Transient,C,227.97,384.33,7.89,192.0,83.61,18.07,2.36,38.72,3.0
1293,Sag,B,148.05,209.37,4.47,176.0,76.57,44.18,3.54,36.87,1.0
1294,Harmonics,C,234.64,331.84,10.67,130.0,98.38,7.84,4.61,36.28,4.0
1295,Normal,A,231.9,327.96,2.77,33.0,57.88,21.06,4.17,35.16,0.0
1296,Harmonics,A,232.69,329.08,12.55,170.0,81.04,10.86,1.33,20.42,4.0
1297,Sag,C,160.61,227.14,3.99,,66.2,42.15,4.75,36.06,1.0
1298,Normal,A,224.83,317.96,1.96,170.0,31.95,18.4,3.24,27.96,0.0
1299,Harmonics,A,226.27,319.99,4.0,146.0,40.33,18.31,1.27,37.91,
1300,Transient,A,232.82,418.68,5.51,181.0,46.18,48.08,4.98,,3.0
1301,Harmonics,A,240.38,339.95,9.43,158.0,74.97,44.78,3.46,22.61,4.0
1302,Swell,A,261.14,369.3,4.14,96.0,38.63,12.96,1.41,34.75,2.0
1303,Normal,C,227.62,321.91,2.43,283.0,72.09,30.45,1.31,23.25,
1304,Swell,B,265.76,375.84,4.03,168.0,90.14,46.22,2.11,23.76,2.0
1305,Harmonics,A,227.14,321.22,8.48,23.0,59.42,37.48,4.97,22.63,4.0
1306,Swell,B,,395.92,3.73,147.0,95.86,28.0,4.66,39.36,2.0
1307,Harmonics,C,231.13,326.87,10.77,201.0,81.38,29.59,2.69,32.37,4.0
1308,Harmonics,B,224.76,317.85,8.89,104.0,44.84,33.02,1.63,37.21,4.0
1309,Normal,A,231.15,326.89,1.97,262.0,23.62,9.65,3.29,28.03,0.0
1310,Harmonics,A,234.21,331.23,5.24,16.0,11.72,6.53,3.74,36.75,4.0
1311,Sag,A,156.31,221.06,3.38,,68.89,8.6,1.97,35.47,1.0
1312,Swell,C,268.34,379.48,3.56,,96.39,19.81,4.54,36.95,2.0
1313,,C,234.58,331.74,,116.0,91.9,46.2,2.32,34.11,0.0
1314,Harmonics,C,226.69,320.58,9.84,23.0,77.42,30.43,2.79,26.19,4.0
1315,Normal,C,232.1,328.24,2.6,46.0,88.92,29.46,1.95,37.02,0.0
1316,Sag,C,142.49,201.51,,215.0,75.38,9.3,2.58,39.66,1.0
1317,Normal,B,224.27,317.17,1.81,199.0,78.13,38.73,3.04,36.22,0.0
1318,Normal,C,228.72,323.45,1.3,82.0,27.06,6.43,3.7,28.03,0.0
1319,Normal,A,231.82,327.84,1.25,236.0,92.84,37.58,3.65,28.82,0.0
1320,Harmonics,C,227.57,321.83,11.35,282.0,14.65,14.5,1.3,25.78,4.0
1321,Swell,A,284.73,402.66,3.4,54.0,34.57,16.0,1.55,36.98,2.0
1322,Sag,C,142.57,201.63,2.62,211.0,91.0,7.24,2.4,22.37,1.0
1323,Sag,B,158.98,224.83,3.82,138.0,49.39,48.57,4.82,35.47,1.0
1324,Transient,A,227.66,415.66,4.15,187.0,16.9,26.29,4.21,35.78,3.0
1325,Swell,A,266.29,376.59,4.2,,23.88,20.04,3.07,24.53,2.0
1326,Swell,A,292.8,414.09,2.77,19.0,30.9,44.54,4.34,24.6,2.0
1327,Transient,B,225.75,404.62,5.46,,70.32,12.88,2.9,32.97,3.0
1328,Sag,A,160.71,227.28,3.88,144.0,22.42,35.3,3.38,25.89,1.0
1329,Sag,B,161.01,227.7,2.82,19.0,43.91,33.27,3.19,24.62,1.0
1330,Harmonics,B,226.42,320.2,5.35,142.0,50.19,17.45,1.42,21.5,4.0
1331,Normal,C,237.06,335.25,2.63,227.0,64.5,26.82,,25.56,0.0
1332,Swell,C,281.36,397.91,2.27,284.0,93.14,33.76,4.28,21.18,2.0
1333,Harmonics,A,240.19,339.68,5.72,31.0,,19.0,2.8,36.11,4.0
1334,Harmonics,A,232.5,328.8,13.05,246.0,21.74,39.32,1.27,20.25,4.0
1335,Harmonics,C,224.14,316.98,12.2,12.0,56.93,43.79,2.97,22.55,4.0
1336,Sag,A,159.29,225.28,2.34,47.0,16.77,,1.78,29.71,1.0
1337,Swell,A,273.02,386.11,2.86,218.0,86.52,21.0,1.92,23.52,2.0
1338,Harmonics,B,218.69,309.28,9.59,26.0,78.61,6.76,4.74,21.9,4.0
1339,Normal,C,222.63,314.85,1.58,241.0,79.84,34.28,,27.5,0.0
1340,Normal,B,230.11,325.42,1.17,13.0,58.02,42.06,4.93,28.22,0.0
1341,Sag,A,158.58,224.27,4.62,74.0,13.55,,3.44,22.39,1.0
1342,Sag,B,145.75,206.12,2.0,170.0,83.4,32.81,4.78,32.93,1.0
1343,Sag,B,162.19,229.38,1.33,271.0,36.32,8.66,1.05,28.55,1.0
1344,Sag,B,143.42,202.82,3.86,76.0,98.37,36.59,2.98,28.62,1.0
1345,Transient,B,231.37,411.26,4.78,24.0,36.01,26.08,4.96,37.78,3.0
1346,Normal,B,239.05,338.06,1.59,145.0,83.81,44.59,4.43,27.5,0.0
1347,Harmonics,A,223.58,316.18,9.01,91.0,48.85,48.62,1.56,31.75,4.0
1348,Transient,A,232.79,367.65,6.51,106.0,98.71,44.71,4.83,26.85,3.0
1349,Transient,B,,393.48,6.77,28.0,23.51,34.69,2.29,26.82,3.0
1350,Normal,A,225.82,319.36,2.17,178.0,14.66,46.23,4.63,24.52,0.0
1351,Normal,B,232.14,328.3,1.0,297.0,81.12,26.48,4.13,28.63,0.0
1352,Transient,A,227.58,402.87,3.39,114.0,47.85,39.43,4.82,36.99,3.0
1353,Swell,A,273.37,386.6,2.08,199.0,87.8,36.2,3.5,20.29,2.0
1354,Sag,B,141.43,200.01,3.03,225.0,50.66,5.71,4.3,37.58,1.0
1355,Normal,A,243.81,344.8,2.2,83.0,88.41,42.24,2.44,32.0,0.0
1356,Normal,C,230.83,326.44,2.99,74.0,37.35,29.32,1.76,23.74,0.0
1357,Sag,C,172.96,244.61,2.73,91.0,26.07,5.06,4.41,34.3,1.0
1358,Sag,A,153.57,217.18,3.17,,23.54,25.97,3.72,36.64,1.0
1359,Harmonics,B,229.76,324.93,12.61,276.0,68.66,13.49,1.25,28.49,4.0
1360,Normal,B,243.95,345.0,0.96,199.0,32.0,42.48,3.46,38.26,0.0
1361,Normal,A,228.98,323.82,,277.0,13.83,23.89,2.84,35.82,0.0
1362,Transient,B,231.8,388.54,6.37,106.0,52.17,24.12,2.16,23.44,3.0
1363,Harmonics,C,232.8,329.23,13.48,127.0,48.89,31.76,2.39,26.53,4.0
1364,Transient,B,237.82,416.04,3.25,50.0,71.34,20.73,1.85,27.49,3.0
1365,Sag,B,160.14,226.47,1.47,285.0,76.49,14.52,2.57,21.28,1.0
1366,Normal,B,222.63,314.85,1.12,299.0,18.46,32.95,4.67,25.98,0.0
1367,Normal,C,234.08,331.04,2.78,213.0,26.81,34.47,2.5,39.65,0.0
1368,Swell,B,272.47,385.33,3.1,258.0,36.73,21.22,4.96,35.66,2.0
1369,Sag,A,158.22,223.76,3.33,120.0,51.81,45.33,2.09,38.31,1.0
1370,Transient,A,234.56,376.02,5.67,50.0,39.98,30.43,2.61,27.92,3.0
1371,Harmonics,C,236.26,334.12,12.75,221.0,,8.54,2.7,38.92,4.0
1372,Sag,A,152.24,215.3,2.15,150.0,67.86,43.75,2.95,22.69,1.0
1373,Swell,A,279.69,395.54,2.08,20.0,36.45,,2.53,28.22,2.0
1374,Normal,B,228.84,323.63,2.41,195.0,35.66,45.53,1.52,33.19,0.0
1375,Swell,C,269.41,381.0,3.55,297.0,63.5,20.52,1.14,30.83,2.0
1376,Swell,B,267.88,378.84,2.76,268.0,16.47,33.55,3.74,30.68,2.0
1377,Harmonics,B,233.14,329.71,11.07,168.0,44.89,24.16,1.3,20.63,4.0
1378,Transient,B,227.71,442.55,2.16,18.0,50.6,32.16,,37.32,3.0
1379,Transient,B,236.25,394.03,4.52,17.0,76.44,36.78,4.95,,3.0
1380,,B,236.88,335.01,2.38,274.0,94.66,14.08,2.24,24.81,0.0
1381,Normal,A,242.36,342.74,1.74,239.0,35.82,19.49,3.25,25.57,0.0
1382,Swell,C,260.87,368.93,4.2,290.0,82.96,23.54,3.99,28.08,2.0
1383,Sag,B,142.59,201.66,2.51,122.0,31.69,35.78,1.34,24.89,1.0
1384,Sag,A,138.07,195.26,2.61,170.0,94.77,43.24,4.38,38.48,1.0
1385,Sag,C,144.31,,1.54,176.0,,34.48,2.78,26.93,1.0
1386,Harmonics,A,229.5,324.56,10.32,40.0,16.46,9.24,3.33,21.03,4.0
1387,Sag,B,141.76,200.48,4.01,254.0,32.12,37.8,3.99,27.95,1.0
1388,,B,226.52,320.34,5.9,41.0,65.6,38.82,1.86,34.33,4.0
1389,Transient,C,230.16,405.36,3.95,221.0,45.12,17.79,3.93,22.17,3.0
1390,Sag,B,153.58,217.19,3.82,52.0,26.29,40.88,2.83,26.57,1.0
1391,Sag,B,159.46,225.51,2.13,90.0,80.06,7.54,3.1,21.67,1.0
1392,Transient,A,229.33,383.43,5.18,40.0,93.36,41.52,4.31,31.39,3.0
1393,Sag,C,144.89,204.91,1.68,114.0,33.28,26.06,1.93,31.77,1.0
1394,Swell,A,270.61,382.7,3.05,67.0,43.04,29.54,3.07,21.9,2.0
1395,Transient,,228.55,398.42,4.69,237.0,85.33,21.8,4.5,24.27,3.0
1396,Normal,A,228.86,323.66,2.18,78.0,65.2,39.28,3.18,32.55,0.0
1397,Normal,C,224.8,317.92,1.56,80.0,62.79,32.59,4.28,,0.0
1398,Harmonics,A,227.53,321.78,6.27,167.0,78.61,26.66,3.72,37.95,4.0
1399,Transient,C,228.44,431.31,3.64,279.0,48.71,36.1,3.08,,3.0
1400,Harmonics,A,,323.72,17.56,138.0,34.8,22.18,2.5,24.88,4.0
1401,Normal,A,230.74,326.32,1.83,195.0,83.54,42.12,1.95,26.47,0.0
1402,Swell,B,254.12,359.37,4.22,40.0,45.69,27.83,4.98,23.57,2.0
1403,Transient,,232.36,345.55,5.25,119.0,65.01,47.0,1.78,35.29,3.0
1404,Sag,B,138.5,195.87,3.45,160.0,95.21,8.51,3.5,28.48,1.0
1405,Transient,B,236.54,412.52,5.35,164.0,27.31,17.18,4.42,31.43,3.0
1406,Normal,C,232.92,329.4,2.03,168.0,17.55,28.25,1.9,28.22,
1407,Transient,C,228.24,382.89,6.16,155.0,40.08,48.19,3.08,28.01,3.0
1408,Transient,A,220.48,430.47,4.01,40.0,69.87,37.07,4.53,27.42,3.0
1409,Sag,A,150.31,212.56,3.53,221.0,69.97,29.59,1.82,35.1,1.0
1410,Sag,A,153.1,216.51,3.39,282.0,17.56,20.28,2.24,39.07,1.0
1411,Swell,B,271.4,383.82,2.59,239.0,53.83,24.14,2.7,37.44,2.0
1412,Swell,C,266.65,377.11,4.07,211.0,86.3,43.87,3.38,,2.0
1413,Normal,A,238.9,337.85,2.43,85.0,36.32,23.1,4.06,24.88,0.0
1414,Swell,B,285.16,403.28,1.99,143.0,55.58,44.19,1.85,28.53,2.0
1415,Sag,B,156.33,221.09,1.59,156.0,11.07,10.64,2.3,31.3,1.0
1416,Transient,B,236.23,374.51,5.69,229.0,73.49,40.87,3.73,24.13,3.0
1417,Transient,A,238.63,405.69,2.1,86.0,27.04,32.15,1.13,22.38,3.0
1418,Transient,A,226.79,366.35,4.55,121.0,97.89,7.24,1.72,32.95,3.0
1419,Sag,C,157.56,222.83,2.58,120.0,95.1,10.11,4.47,22.58,1.0
1420,Harmonics,B,222.51,314.68,11.58,220.0,56.03,9.2,4.68,26.88,4.0
1421,Transient,B,226.16,420.8,3.94,255.0,16.74,9.96,2.53,38.8,
1422,Sag,A,146.62,207.35,3.93,217.0,11.55,47.64,2.47,20.2,1.0
1423,Sag,A,151.41,214.13,3.17,243.0,99.52,38.08,1.86,36.93,1.0
1424,Harmonics,B,229.72,324.88,9.57,284.0,,17.43,1.99,31.27,4.0
1425,Sag,B,153.89,217.64,4.6,148.0,10.32,,1.8,23.72,1.0
1426,Normal,B,224.27,317.17,2.43,240.0,18.9,6.91,3.7,30.75,0.0
1427,Transient,A,228.32,434.55,7.9,39.0,85.57,24.17,3.58,23.54,3.0
1428,Sag,A,171.14,,3.42,35.0,93.08,30.43,2.32,22.81,1.0
1429,Swell,C,260.65,368.61,1.91,132.0,83.88,17.41,4.19,25.76,2.0
1430,Transient,B,233.06,414.85,3.91,180.0,44.34,27.8,,30.59,3.0
1431,Normal,A,230.91,326.56,1.34,296.0,98.12,17.17,3.77,25.07,0.0
1432,Transient,A,231.83,393.65,4.47,260.0,42.24,9.46,4.03,31.93,3.0
1433,Transient,A,233.34,405.66,5.5,11.0,24.77,7.45,2.32,29.23,3.0
1434,Transient,A,236.25,394.5,4.07,179.0,85.2,5.82,4.21,38.94,3.0
1435,Normal,C,236.59,334.59,2.07,247.0,49.28,31.18,3.09,26.62,0.0
1436,Transient,C,222.38,426.19,6.64,75.0,92.03,27.57,2.45,23.41,3.0
1437,Sag,A,157.07,222.13,2.82,263.0,43.9,30.83,1.11,25.26,1.0
1438,Normal,B,226.02,319.64,1.26,164.0,20.1,37.7,4.78,32.21,0.0
1439,,B,227.08,321.13,1.12,228.0,26.16,10.6,4.66,22.81,0.0
1440,Swell,A,267.05,377.67,2.85,195.0,26.97,30.27,3.77,30.64,2.0
1441,Swell,A,275.22,389.22,4.27,,76.08,39.09,2.68,,2.0
1442,Transient,A,227.4,378.13,6.58,14.0,86.42,15.6,4.74,39.1,3.0
1443,Swell,C,272.08,384.78,2.51,181.0,83.94,8.65,2.27,39.33,2.0
1444,,C,222.89,315.21,1.46,122.0,18.96,18.79,3.0,24.63,0.0
1445,Swell,C,,374.38,4.56,23.0,86.98,35.38,1.68,23.8,2.0
1446,Transient,C,231.99,399.46,3.76,189.0,,47.33,4.05,33.92,3.0
1447,Harmonics,C,229.29,324.26,12.77,234.0,47.07,37.22,1.44,25.41,4.0
1448,Harmonics,A,236.21,334.05,9.23,179.0,48.97,34.1,2.09,27.68,4.0
1449,Transient,A,235.27,418.88,3.24,255.0,53.53,37.8,2.77,26.77,3.0
1450,Sag,C,162.51,229.82,2.31,239.0,95.3,10.79,1.14,28.29,
1451,Swell,C,261.54,369.88,4.72,111.0,96.28,5.96,3.95,39.18,2.0
1452,Transient,C,234.75,405.35,5.12,97.0,47.67,43.26,4.73,32.02,3.0
1453,Transient,B,235.53,395.08,2.99,23.0,74.77,6.0,3.26,34.95,3.0
1454,Sag,C,156.12,220.79,1.99,227.0,15.62,34.36,4.65,27.59,1.0
1455,Sag,B,150.85,213.33,3.04,95.0,89.43,15.56,2.05,34.08,1.0
1456,Sag,A,140.96,199.35,2.61,262.0,71.1,38.64,,24.55,1.0
1457,Sag,C,149.71,211.72,2.94,54.0,75.89,35.75,,33.48,1.0
1458,,C,149.22,211.02,4.99,76.0,32.1,34.32,4.33,29.19,1.0
1459,Harmonics,A,226.72,320.63,10.31,202.0,47.5,38.47,4.43,26.2,4.0
1460,Sag,A,130.3,184.27,1.93,239.0,14.98,41.44,4.94,36.48,1.0
1461,Harmonics,B,225.9,319.48,5.82,167.0,50.24,47.03,4.42,22.05,4.0
1462,Normal,B,230.92,326.57,1.44,65.0,63.22,15.34,2.91,28.12,0.0
1463,Sag,A,157.27,222.42,1.53,33.0,24.78,43.07,4.25,29.53,1.0
1464,Harmonics,A,224.82,317.95,14.42,283.0,87.14,15.47,4.22,23.59,4.0
1465,Harmonics,B,230.96,326.62,9.48,27.0,69.25,8.58,2.98,27.21,4.0
1466,Harmonics,C,232.33,328.56,6.37,254.0,76.03,21.47,2.62,31.07,4.0
1467,Transient,C,232.06,378.23,9.2,21.0,98.93,34.65,2.46,,3.0
1468,Sag,A,167.9,237.45,3.6,48.0,90.6,20.95,4.81,32.75,1.0
1469,Transient,C,229.59,416.71,5.5,278.0,29.81,42.64,3.76,37.4,3.0
1470,Harmonics,B,232.5,328.81,8.42,24.0,71.73,30.21,1.82,38.06,4.0
1471,Harmonics,A,232.0,328.09,5.96,100.0,54.25,18.29,4.08,27.88,4.0
1472,Sag,B,146.43,207.09,3.33,41.0,78.28,33.16,4.27,29.11,1.0
1473,Sag,C,152.0,214.96,3.56,169.0,65.68,7.95,3.82,30.87,1.0
1474,Transient,C,226.96,414.68,2.58,248.0,77.76,34.6,3.32,30.6,3.0
1475,Transient,A,228.34,369.43,5.47,112.0,44.83,27.66,1.76,37.53,3.0
1476,Sag,C,138.85,196.36,4.07,87.0,62.17,10.01,1.86,25.59,1.0
1477,Swell,C,267.92,378.89,3.14,238.0,69.54,35.99,4.49,20.68,2.0
1478,Normal,B,222.36,314.47,2.72,193.0,69.08,12.39,1.22,22.42,0.0
1479,Harmonics,B,225.57,,11.59,53.0,27.89,43.46,1.78,23.23,
1480,Normal,C,231.03,326.72,1.19,35.0,97.64,6.76,4.78,39.95,0.0
1481,Sag,,174.29,246.48,4.22,237.0,35.38,29.65,1.33,38.31,1.0
1482,Transient,A,235.17,394.0,6.5,223.0,33.64,7.01,2.07,21.08,3.0
1483,Swell,C,267.63,378.48,3.83,189.0,62.43,29.88,4.44,22.03,2.0
1484,Harmonics,C,236.78,334.86,10.5,159.0,82.26,22.98,1.76,35.18,4.0
1485,Transient,A,229.54,391.65,7.34,163.0,53.55,41.63,4.82,24.61,3.0
1486,Transient,C,232.76,397.07,5.93,292.0,,34.41,3.62,31.85,3.0
1487,Swell,B,278.4,393.71,3.8,87.0,36.58,5.96,4.78,23.39,
1488,Swell,C,273.14,386.28,2.82,141.0,42.34,7.58,3.56,31.4,2.0
1489,Normal,A,232.58,328.91,2.16,178.0,89.72,18.42,3.98,39.8,0.0
1490,Transient,B,238.39,398.54,4.73,242.0,22.68,43.41,3.35,37.47,3.0
1491,Sag,,140.59,198.82,2.47,145.0,26.33,10.42,1.57,33.22,1.0
1492,Transient,B,230.64,409.14,5.95,227.0,29.97,35.33,1.42,29.08,3.0
1493,Swell,B,258.22,365.17,3.06,11.0,40.38,27.47,3.7,39.36,2.0
1494,Harmonics,A,231.95,328.03,10.22,166.0,44.35,19.36,4.41,24.4,4.0
1495,Harmonics,B,244.13,345.25,14.08,17.0,78.22,49.9,4.6,38.52,4.0
1496,Sag,,150.55,212.91,3.44,165.0,89.98,25.39,2.26,38.82,1.0
1497,Sag,A,150.44,212.75,4.22,59.0,26.14,30.8,4.94,25.82,1.0
1498,Sag,A,148.44,209.92,4.1,,25.17,33.42,1.34,38.94,1.0
1499,Normal,C,224.44,317.41,1.2,206.0,,24.36,3.33,35.15,0.0
1500,Sag,A,134.26,189.88,3.37,113.0,94.32,5.05,4.58,26.22,1.0
1501,Normal,C,227.24,321.36,1.7,155.0,90.91,9.6,1.57,37.24,0.0
1502,Harmonics,B,227.41,321.61,11.53,130.0,40.62,19.32,4.83,35.78,4.0
1503,Sag,B,146.42,207.07,3.35,288.0,17.28,34.56,3.62,21.9,1.0
1504,Sag,A,142.24,201.16,0.91,225.0,21.76,19.66,3.31,33.53,1.0
1505,Normal,B,225.75,319.26,1.78,263.0,16.88,9.31,2.98,36.39,0.0
1506,Normal,A,226.57,320.42,1.99,257.0,35.39,43.74,2.95,20.54,0.0
1507,Transient,A,231.46,373.61,5.85,292.0,33.69,20.21,1.43,33.94,3.0
1508,Normal,A,233.32,329.97,1.51,98.0,17.63,38.37,3.77,,0.0
1509,Transient,A,225.52,405.73,3.58,123.0,33.63,38.55,4.91,31.9,3.0
1510,Harmonics,B,237.13,335.36,9.62,296.0,45.63,17.22,2.17,22.47,4.0
1511,Swell,A,245.78,347.59,2.37,296.0,32.88,16.65,2.95,33.05,2.0
1512,Transient,B,237.76,367.73,4.91,236.0,13.13,26.09,2.59,22.74,3.0
1513,Transient,A,221.89,438.04,5.98,292.0,84.84,25.86,3.95,22.56,3.0
1514,Swell,C,269.54,381.18,3.68,220.0,75.45,42.4,1.5,22.71,2.0
1515,Swell,A,272.48,385.35,3.54,50.0,88.25,8.25,4.5,30.49,2.0
1516,Swell,A,275.81,390.05,4.22,,89.63,37.57,3.68,35.97,2.0
1517,Sag,A,157.13,222.22,1.17,138.0,68.9,,1.92,24.02,1.0
1518,Swell,B,283.1,400.36,2.33,252.0,51.96,34.46,1.41,25.07,2.0
1519,Transient,A,227.26,398.96,4.94,34.0,93.79,29.88,3.79,31.93,3.0
1520,Sag,A,146.64,207.39,3.75,,85.43,28.21,2.51,38.44,1.0
1521,,B,264.12,373.52,3.09,100.0,22.53,31.11,4.55,29.47,2.0
1522,Harmonics,A,232.69,329.07,7.74,222.0,94.07,14.59,1.41,26.87,4.0
1523,Sag,A,161.77,228.78,1.79,40.0,13.24,42.42,3.37,27.16,1.0
1524,Normal,,239.08,338.12,1.41,98.0,,46.27,4.12,24.87,0.0
1525,Sag,A,154.33,218.25,2.94,283.0,92.59,8.51,2.71,30.65,1.0
1526,Normal,C,229.61,324.71,2.23,69.0,20.53,37.18,1.3,38.34,0.0
1527,,B,277.94,393.06,5.2,129.0,34.6,30.98,4.73,20.7,2.0
1528,Transient,C,224.32,370.33,4.57,271.0,78.6,28.42,1.82,30.9,3.0
1529,Sag,C,158.48,224.12,3.8,243.0,63.97,19.95,1.04,24.0,1.0
1530,Sag,C,141.36,199.91,2.77,299.0,72.19,35.72,4.37,22.65,1.0
1531,Normal,A,223.7,316.36,,204.0,48.19,46.21,2.99,27.98,0.0
1532,Transient,B,230.03,417.77,5.98,,92.46,22.48,3.39,30.01,3.0
1533,Swell,A,254.73,360.24,4.39,146.0,61.64,30.93,4.81,28.85,2.0
1534,Sag,A,160.84,227.46,2.43,220.0,,31.35,2.39,33.15,1.0
1535,Normal,B,234.08,331.03,3.16,179.0,27.17,19.44,2.68,31.88,0.0
1536,Harmonics,A,226.0,319.61,11.98,106.0,12.34,11.88,3.51,21.47,4.0
1537,Swell,A,245.01,346.49,2.91,32.0,70.52,35.59,2.06,26.61,2.0
1538,Normal,A,228.86,323.66,1.3,247.0,54.27,42.01,2.62,39.69,0.0
1539,Sag,C,154.5,218.5,3.02,182.0,,48.39,,35.97,1.0
1540,Harmonics,A,232.65,329.01,8.49,218.0,66.92,31.68,1.48,26.52,4.0
1541,Transient,C,224.71,441.02,3.61,220.0,29.33,13.41,2.82,34.96,3.0
1542,Transient,C,220.54,410.67,4.93,277.0,73.18,48.65,2.74,28.12,3.0
1543,Harmonics,B,224.62,317.66,7.29,140.0,75.25,5.71,2.16,32.83,4.0
1544,Swell,B,280.15,,2.27,175.0,35.42,19.56,2.41,21.27,2.0
1545,Harmonics,C,232.01,328.12,9.2,121.0,50.75,28.2,1.53,39.59,4.0
1546,Sag,A,147.57,208.7,1.52,218.0,56.9,17.85,1.99,35.18,1.0
1547,Harmonics,B,228.93,323.76,6.69,237.0,89.81,37.94,3.24,24.49,4.0
1548,Normal,C,224.28,317.19,3.13,152.0,22.67,12.05,3.56,37.46,0.0
1549,Sag,C,151.88,214.8,3.52,82.0,,32.31,4.44,20.31,1.0
1550,Transient,A,226.67,405.37,4.23,155.0,54.67,26.27,2.24,37.41,3.0
1551,Harmonics,C,230.97,326.64,9.31,64.0,80.0,48.95,,22.82,4.0
1552,Normal,A,226.24,319.95,2.08,64.0,18.48,19.18,4.5,26.94,0.0
1553,Transient,C,232.42,399.15,6.36,240.0,15.5,27.02,4.25,21.98,3.0
1554,Swell,A,255.48,361.31,4.75,247.0,58.82,,1.59,31.46,2.0
1555,Sag,C,165.51,234.07,1.7,188.0,93.34,6.07,1.21,39.17,1.0
1556,Normal,C,226.15,319.82,1.86,247.0,60.86,33.29,4.43,31.02,0.0
1557,Harmonics,C,234.79,332.04,9.9,196.0,88.69,31.94,3.76,33.76,4.0
1558,Swell,A,272.84,385.85,5.36,191.0,93.57,48.92,4.76,25.44,2.0
1559,Harmonics,B,237.47,335.83,,261.0,31.99,9.3,2.76,33.53,4.0
1560,Sag,C,148.31,209.74,2.93,261.0,34.98,42.43,1.38,22.23,1.0
1561,Swell,C,281.63,398.28,5.27,260.0,95.4,7.74,4.59,26.09,2.0
1562,Normal,C,231.65,327.6,2.67,10.0,27.36,14.17,1.75,29.78,0.0
1563,Sag,C,144.33,204.11,3.93,10.0,22.55,30.66,3.95,30.76,1.0
1564,Normal,A,230.82,326.43,1.69,233.0,78.03,41.61,1.02,30.02,0.0
1565,Sag,A,136.78,193.44,2.91,27.0,26.32,26.41,3.61,22.92,1.0
1566,Sag,A,144.5,204.35,3.34,82.0,68.84,24.71,4.1,34.39,1.0
1567,Transient,B,233.67,403.15,5.48,289.0,44.01,41.43,4.83,27.4,3.0
1568,Swell,C,265.43,375.38,4.4,94.0,76.64,24.84,4.55,36.19,2.0
1569,Normal,C,229.95,325.2,1.72,87.0,27.14,49.22,4.23,34.2,0.0
1570,Transient,C,223.57,393.73,3.63,184.0,34.45,20.84,1.38,28.56,3.0
1571,Harmonics,C,228.33,322.9,5.68,67.0,13.63,42.22,3.43,30.48,4.0
1572,Sag,C,170.95,241.76,2.93,232.0,96.59,40.08,4.5,34.13,1.0
1573,Harmonics,A,226.01,319.63,12.42,75.0,80.65,25.46,2.97,23.73,4.0
1574,Swell,C,270.44,382.46,1.83,185.0,85.29,41.65,3.58,27.32,2.0
1575,Swell,C,277.12,391.91,3.8,98.0,19.59,10.26,3.42,39.67,2.0
1576,Transient,B,236.58,372.84,6.51,267.0,81.02,28.83,1.12,20.81,3.0
1577,Normal,C,231.16,326.91,1.73,264.0,81.98,32.47,1.9,32.26,0.0
